"","st_id","female","ethniccode_cat","firstgen","international","transfer","lowincomeflag","numgrade","cum_prior_gpa","gpao","crs_name","crs_section","admit_gpa","n_section"
"7640","f457",1,2,1,0,1,1,3.3,NA,3.33,"MATH100",201710,2.98,935
"7641","1569",0,2,0,0,0,0,4,3.79,4,"BIO300",201703,4.06,665
"7642","8b6b",1,2,0,0,1,0,1.3,2.67,4,"EVOL305",201803,3.46,268
"7643","9e3f",1,2,0,0,1,1,3,NA,3.15,"BIO300",201610,3.3,652
"7644","5edc",1,2,0,0,0,0,4,3.29,3.71,"EVOL305",201903,4.22,233
"7645","da1d",0,1,1,0,0,1,4,3.4,4,"MATH100",201701,4.18,475
"7646","e6cb",1,2,0,1,1,0,2.3,NA,1.86,"MATH100",201810,3.58,884
"7647","6f2e",1,2,0,1,0,0,3.7,3.67,3.13,"MATH100",201803,4.06,584
"7648","d655",1,2,0,0,0,0,2,3.02,4,"BIO300",201701,4,624
"7649","f4eb",1,0,0,0,1,0,1.3,2.76,1.97,"MATH100",201901,3,575
"7650","0860",1,2,0,0,0,0,4,3.6,3.92,"EVOL305",201701,3.96,183
"7651","de48",1,2,0,0,0,0,3.7,3.36,2.35,"MATH100",201701,4.08,475
"7652","c03e",1,2,0,0,0,1,3.3,3.11,2.34,"MATH100",201710,4.18,935
"7653","8319",0,1,1,0,1,0,2.7,NA,2.99,"MATH100",201703,3.12,537
"7654","af4a",1,0,0,0,0,0,4,3.78,4,"MATH100",201701,4.19,475
"7655","4089",1,0,1,0,1,0,2,NA,3.5,"BIO300",201610,3.37,652
"7656","b5d1",1,2,1,0,1,0,2.3,3.09,3.7,"MATH100",201810,3.66,884
"7657","e9d4",1,2,1,0,0,0,4,3.96,4,"EVOL305",201703,4.36,193
"7658","1328",1,2,0,0,0,0,4,2.69,2.96,"MATH100",201610,4,908
"7659","bf1c",0,2,0,0,0,0,3,3.03,2.85,"EVOL305",201810,4,321
"7660","32da",1,2,0,1,0,0,2.7,3.39,3.3,"BIO300",201910,3.78,642
"7661","6b00",0,2,1,0,0,0,3.7,3.21,3.38,"MATH100",201803,4.07,584
"7662","d99a",1,2,0,0,0,0,3.3,3.93,3.66,"MATH100",201901,4.03,575
"7663","b89f",1,1,0,0,0,0,2.3,3.13,2.3,"MATH100",201903,3.85,456
"7664","576c",1,2,0,1,0,0,3.3,2.79,3.43,"MATH100",201710,3.68,935
"7665","6e3c",0,0,0,0,1,0,1.3,2.14,2.72,"BIO300",201801,3.28,730
"7666","6480",0,2,0,0,1,0,2,NA,2.49,"BIO300",201910,3.29,642
"7667","3f94",0,2,1,0,0,1,2.3,3.02,3.21,"EVOL305",201901,3.83,191
"7668","b02c",0,1,1,0,0,1,1.3,3.29,3.07,"MATH100",201610,4.22,908
"7669","e24b",1,2,1,0,0,0,4,3.81,3.61,"MATH100",201801,4.33,539
"7670","e410",1,2,0,0,0,0,3.7,3.93,4,"BIO300",201701,4.16,624
"7671","11f0",0,2,1,0,1,0,2.7,2.86,2.31,"BIO300",201910,3.16,642
"7672","cb80",0,2,0,1,0,0,3.7,3.13,2.7,"BIO300",201903,3.83,575
"7673","d296",1,0,0,0,0,0,2.3,2.87,3.53,"MATH100",201903,4.09,456
"7674","103f",1,0,0,0,0,0,3.7,3.71,3.32,"BIO300",201901,3.92,818
"7675","509c",0,2,1,0,0,1,3.3,3.28,3.91,"MATH100",201710,4.18,935
"7676","06a4",0,2,0,0,0,0,4,3.84,4,"CHEM201",201710,4,119
"7677","b239",0,0,0,0,0,0,4,3.61,4,"BIO300",201703,4.31,665
"7678","5498",1,2,0,0,0,1,3,2.83,3.89,"BIO300",201610,4,652
"7679","6bb9",1,0,0,0,0,0,3.3,3.61,3.84,"MATH100",201903,4.22,456
"7680","d9c8",0,0,0,0,1,0,3.7,NA,4,"MATH100",201610,3.66,908
"7681","a8e6",1,2,1,0,0,0,0,2.4,1.09,"BIO300",201810,3.84,664
"7682","768e",0,1,1,0,1,1,2.3,2.1,2.61,"MATH100",201901,2.91,575
"7683","eab4",1,1,0,0,0,0,3.3,3.2,3.61,"MATH100",201910,4.3,1005
"7684","7532",1,1,0,0,0,1,2,3.1,3.35,"BIO300",201803,4.08,749
"7685","af8a",0,2,1,0,1,0,3.3,3.61,2.34,"BIO300",201910,3.69,642
"7686","1408",1,1,1,0,0,0,3,2.54,2.49,"MATH100",201901,4.04,575
"7687","f5cc",0,2,0,0,0,0,3,3.18,3.63,"MATH100",201810,3.64,884
"7688","4979",1,2,0,0,1,1,3,NA,3.27,"MATH100",201810,3.37,884
"7689","2609",0,2,1,0,0,1,4,3.51,3.3,"BIO300",201801,4.33,730
"7690","fa7b",1,2,1,0,0,0,3,3.24,3.69,"BIO300",201710,4.21,599
"7691","cc43",1,1,0,0,1,0,4,3.49,3.76,"BIO300",201701,3.72,624
"7692","fc2c",1,0,0,0,1,0,0,NA,0.98,"MATH100",201910,3.53,1005
"7693","5497",1,1,1,0,1,1,1,NA,3,"CHEM201",201810,2.94,149
"7694","4438",1,1,1,0,0,0,1.7,2.68,3.45,"BIO300",201901,4.16,818
"7695","42e4",1,2,1,0,0,1,2,2.92,2.69,"BIO300",201810,3.8,664
"7696","f17c",1,0,0,0,0,0,3,3.09,2.28,"BIO300",201903,4.15,575
"7697","31ca",1,2,1,0,1,1,2.3,NA,2.84,"BIO300",201710,3.65,599
"7698","b002",1,2,0,0,0,0,3.3,3.16,3.87,"BIO300",201901,4.27,818
"7699","3ce3",0,1,0,0,0,0,3,3.7,3.9,"BIO300",201610,3.83,652
"7700","d489",0,1,1,0,1,0,0.7,2.18,2.5,"BIO300",201801,2.94,730
"7701","a633",1,2,0,0,0,0,4,3.6,3.8,"BIO300",201701,3.95,624
"7702","f1cc",1,2,1,0,0,0,4,3.24,3.78,"MATH100",201901,3.95,575
"7703","4c5f",1,2,0,0,0,0,3,2.65,3.43,"MATH100",201910,4.05,1005
"7704","6897",0,2,1,1,1,0,4,2.83,3.51,"MATH100",201901,3.11,575
"7705","e50a",1,2,1,0,0,1,3.3,2.97,2.69,"BIO300",201903,4,575
"7706","d539",0,2,1,0,0,0,3.7,3.32,NA,"EVOL305",201703,3.96,193
"7707","490a",0,2,1,0,0,0,2,2.89,3.2,"BIO300",201803,3.81,749
"7708","d0af",0,2,0,0,0,0,2,3.16,2.72,"CHEM201",201910,4.23,143
"7709","a1dc",0,2,1,0,1,1,2.3,NA,3.56,"BIO300",201810,3.29,664
"7710","d3a3",0,0,0,0,1,0,3.3,3.24,3.64,"BIO300",201701,3.5,624
"7711","b0b8",0,0,0,0,1,0,1.7,2.66,3.69,"BIO300",201903,3.42,575
"7712","1bb6",1,1,1,0,1,0,2.7,NA,3.31,"BIO300",201810,2.9,664
"7713","d5c6",1,2,0,0,0,0,2.3,2.99,3,"MATH100",201610,4.16,908
"7714","044f",0,2,1,0,1,1,2.7,NA,4,"MATH100",201710,3.61,935
"7715","775b",1,1,0,0,0,0,2,2.9,2.97,"BIO300",201610,4.08,652
"7716","6ea5",1,0,0,0,0,0,4,3.48,3.29,"BIO300",201701,3.92,624
"7717","ad5c",0,2,0,0,1,0,4,3.52,3.49,"MATH100",201901,3.56,575
"7718","246b",1,2,1,0,0,0,3.7,3.51,3.22,"BIO300",201803,4.16,749
"7719","e421",0,2,1,0,0,0,2,2.5,2.87,"CHEM201",201710,3.86,119
"7720","5f3f",1,1,1,0,1,1,3.3,NA,3.34,"MATH100",201610,3.68,908
"7721","167b",0,2,1,0,1,1,2,2.67,3.09,"BIO300",201710,3.18,599
"7722","2889",0,0,0,0,0,0,2.3,2.73,3.6,"BIO300",201703,3.85,665
"7723","152e",0,2,0,0,0,0,3.3,2.99,3.44,"BIO300",201610,3.95,652
"7724","a500",0,0,0,0,1,0,2.7,3.22,3.34,"EVOL305",201610,2.88,173
"7725","d77e",0,2,1,0,1,0,3,2.21,3.09,"BIO300",201901,3.67,818
"7726","d28a",1,1,0,0,0,0,2.3,3.19,3.34,"MATH100",201710,4,935
"7727","0b77",0,2,0,0,1,0,1.7,2.15,3,"BIO300",201703,3.24,665
"7728","5bf8",1,0,0,0,1,0,3.7,3.99,3.83,"CHEM201",201910,3.46,143
"7729","accb",0,2,1,0,1,1,2.7,NA,2.04,"MATH100",201610,3.2,908
"7730","be18",0,0,1,0,0,1,2.7,3.3,3.86,"EVOL305",201901,3.73,191
"7731","4635",0,0,0,0,1,0,3.3,2.9,2.74,"EVOL305",201801,3.46,233
"7732","6670",0,2,1,0,1,1,1.7,NA,2.68,"BIO300",201901,3.29,818
"7733","b2a6",1,1,1,0,1,1,3,NA,3.49,"MATH100",201810,3.32,884
"7734","8ee0",0,2,0,0,0,0,4,3.45,3.58,"MATH100",201810,4.25,884
"7735","81a7",0,1,0,0,1,0,1,2.55,3.17,"MATH100",201801,3.41,539
"7736","26a7",1,0,1,0,0,0,3.7,3.02,3.79,"EVOL305",201910,4.21,384
"7737","f83f",0,1,1,0,1,0,1,2.67,2.57,"MATH100",201710,3.14,935
"7738","8ade",1,0,0,0,0,0,4,3.69,4,"MATH100",201801,4.27,539
"7739","9c52",1,0,1,0,1,1,2,2.67,3.5,"MATH100",201710,3.91,935
"7740","7d61",1,0,0,0,0,0,3,3.13,3.49,"MATH100",201710,4.11,935
"7741","f12d",1,2,0,1,0,0,0,2.6,2.05,"MATH100",201801,3.75,539
"7742","7e66",1,2,1,0,1,0,2.7,2.67,2.55,"MATH100",201903,2.91,456
"7743","8539",1,2,0,1,0,0,4,3.97,4,"MATH100",201910,4.25,1005
"7744","cb3a",0,1,1,0,0,1,3,3.32,3.13,"CHEM201",201910,4.11,143
"7745","b880",1,2,0,0,0,0,4,3.82,4,"BIO300",201903,4.31,575
"7746","826e",0,2,1,0,0,1,4,3.21,3.9,"EVOL305",201710,4.13,255
"7747","d2b2",0,1,1,0,0,1,3,3.63,3.99,"BIO300",201710,3.81,599
"7748","5490",1,1,1,0,0,1,3.3,3.03,3.6,"EVOL305",201803,3.8,268
"7749","e0e0",1,0,0,0,0,0,4,3.74,4,"BIO300",201810,4.18,664
"7750","ddc0",1,2,0,0,0,0,4,3.98,4,"BIO300",201710,3.95,599
"7751","6506",0,1,1,0,0,1,3,2.44,1.32,"MATH100",201701,4.22,475
"7752","0835",1,2,1,0,1,0,3.3,3.85,3.87,"BIO300",201910,3.6,642
"7753","85aa",0,0,0,0,0,0,2,3.07,1.86,"BIO300",201610,3.9,652
"7754","1c28",1,1,0,0,0,0,4,3.94,4,"MATH100",201910,4.36,1005
"7755","9b6b",1,0,0,0,0,0,4,3.83,4,"MATH100",201903,4.18,456
"7756","ca67",1,1,0,0,0,1,3.3,3.23,3.03,"EVOL305",201701,3.95,183
"7757","e2d7",0,0,0,0,0,0,4,3.52,3.89,"EVOL305",201901,3.42,191
"7758","da3e",0,1,1,0,0,0,3,3.4,3.69,"BIO300",201610,3.91,652
"7759","124e",1,0,0,0,1,0,4,3.4,4,"EVOL305",201910,3.79,384
"7760","70ea",1,2,1,0,0,1,2.3,2.85,3.5,"BIO300",201810,3.7,664
"7761","acd3",1,1,0,0,0,0,2,3.01,2.34,"MATH100",201801,4.07,539
"7762","59c5",1,0,1,0,0,1,3,3.17,2.82,"BIO300",201610,3.91,652
"7763","8044",1,2,0,0,0,1,2,2.93,2.99,"BIO300",201610,4.2,652
"7764","511c",0,2,0,1,0,0,1.7,2.47,2.99,"CHEM201",201910,4,143
"7765","f955",0,0,0,0,0,0,4,3.37,3.37,"MATH100",201701,3.9,475
"7766","a949",0,2,1,0,0,1,4,3.2,3.89,"EVOL305",201910,3.96,384
"7767","b3dd",1,0,0,0,1,0,3,NA,3.55,"MATH100",201810,3.52,884
"7768","15f8",0,2,0,0,0,0,1,2.75,1.35,"BIO300",201901,3.79,818
"7769","c58f",0,1,0,0,0,0,4,3.51,3.89,"BIO300",201710,3.72,599
"7770","04b9",1,2,0,1,0,0,4,3.92,3.79,"EVOL305",201810,4.01,321
"7771","0d6a",1,0,0,0,0,0,2.7,3.17,1.82,"EVOL305",201810,4.07,321
"7772","81e8",1,2,1,1,0,1,3,3.1,3.76,"BIO300",201610,4,652
"7773","9811",1,1,1,0,0,1,2.7,2.87,3.99,"BIO300",201903,3.95,575
"7774","04ad",0,2,0,0,1,0,3,NA,3.35,"MATH100",201810,3.16,884
"7775","4f07",0,2,1,0,0,0,4,3.21,2.99,"MATH100",201810,4,884
"7776","0cab",1,0,0,0,0,0,3,3.8,3.9,"BIO300",201803,4.16,749
"7777","924e",0,0,0,0,0,0,4,3.83,4,"MATH100",201803,4.4,584
"7778","f0d7",1,0,0,0,0,0,1.7,2.77,2.84,"EVOL305",201810,4.29,321
"7779","680d",1,2,1,0,0,0,1.7,3.06,3.48,"BIO300",201910,4.12,642
"7780","b593",1,2,1,0,0,0,3,3.15,3.86,"BIO300",201801,3.88,730
"7781","0779",0,0,1,0,1,0,2.7,2.76,3.01,"EVOL305",201610,3.44,173
"7782","1aa0",1,0,0,0,1,1,2.3,2.94,4,"MATH100",201801,2.89,539
"7783","1854",1,2,1,0,1,0,3.3,3.85,3.33,"BIO300",201801,3.69,730
"7784","58f1",1,2,0,0,1,0,3.7,NA,3.12,"MATH100",201810,3.57,884
"7785","417e",1,2,1,0,0,0,2.3,3.02,3.53,"MATH100",201610,4.11,908
"7786","7341",0,2,0,0,1,1,2.3,3.24,3.12,"BIO300",201610,3.77,652
"7787","2aab",1,1,1,1,1,0,3,NA,2.85,"MATH100",201710,3.38,935
"7788","9111",1,2,1,0,1,1,3,NA,2.35,"BIO300",201610,3.56,652
"7789","8e40",0,1,1,0,0,1,2.3,2.65,2.7,"BIO300",201803,4.24,749
"7790","72d0",1,0,0,0,0,0,0.7,2.7,1.9,"MATH100",201910,4,1005
"7791","83b2",0,2,1,0,1,1,2.3,2.33,2.89,"BIO300",201801,3.25,730
"7792","f094",1,0,0,0,0,0,2,2.92,2,"BIO300",201710,3.95,599
"7793","5475",1,1,1,0,0,1,2,2.27,2.46,"MATH100",201910,4.04,1005
"7794","cb3c",0,0,0,0,1,0,2.3,NA,2.51,"MATH100",201810,3.37,884
"7795","06f6",1,1,1,0,0,1,2,2.87,3.08,"BIO300",201903,4.26,575
"7796","e151",1,2,1,0,0,1,2.7,3.16,3.56,"BIO300",201803,3.83,749
"7797","7161",1,2,1,0,0,0,3,2.73,2.69,"MATH100",201810,4.16,884
"7798","d37a",1,1,1,0,0,0,2.7,3.1,2.12,"MATH100",201710,4.21,935
"7799","8f3b",0,2,1,0,1,0,3.7,3.08,3.7,"EVOL305",201701,3.85,183
"7800","0d48",1,0,0,0,0,0,3,2.85,3.29,"MATH100",201810,4.31,884
"7801","5bf1",0,0,1,0,0,1,3,3.36,3.87,"MATH100",201801,3.33,539
"7802","8ca1",1,2,0,0,0,0,4,4,3.88,"MATH100",201610,4.31,908
"7803","25b8",1,2,0,0,1,0,0.7,2.54,2.23,"BIO300",201803,2.87,749
"7804","dcea",1,2,1,0,1,0,1,3.2,2.25,"BIO300",201803,2.91,749
"7805","091e",1,1,1,0,0,0,3,3.5,3.57,"MATH100",201710,4,935
"7806","345f",1,0,0,0,1,0,2.3,3.2,2.83,"EVOL305",201903,3.68,233
"7807","5582",1,2,0,1,0,0,2,3.17,2.74,"CHEM201",201910,3.86,143
"7808","5ba1",1,1,1,0,0,1,2,2.64,2.84,"MATH100",201610,4.08,908
"7809","78ac",1,1,1,1,1,1,0.7,NA,2.38,"MATH100",201710,3.04,935
"7810","78cc",1,1,1,0,0,0,3,3.22,3.49,"EVOL305",201803,4.2,268
"7811","ad10",1,1,1,0,0,1,1.7,3.26,2.22,"BIO300",201910,4.17,642
"7812","7bb1",1,2,1,0,0,0,4,3.55,4,"MATH100",201610,3.95,908
"7813","9f51",1,0,0,0,0,0,3,3.16,3.14,"BIO300",201703,4.3,665
"7814","43d2",1,1,0,0,0,0,3,3.04,3.99,"EVOL305",201803,3.87,268
"7815","171a",0,0,1,0,0,0,2.3,2.43,2.7,"MATH100",201810,4,884
"7816","9ea4",1,0,0,0,0,0,3,3.37,3,"MATH100",201701,4.03,475
"7817","cad8",1,0,0,0,0,0,4,3.77,4,"BIO300",201801,4.05,730
"7818","5e94",1,0,1,0,1,0,3.7,NA,3.59,"MATH100",201810,3.48,884
"7819","0414",1,2,1,0,0,1,3,3.03,3.3,"MATH100",201801,3.72,539
"7820","4118",1,0,0,0,1,0,4,3.88,4,"BIO300",201901,3.86,818
"7821","ab01",1,2,1,0,0,0,3.7,3.32,3.81,"MATH100",201610,4.3,908
"7822","00c1",1,0,1,0,0,0,3,3.13,3.17,"MATH100",201910,4.09,1005
"7823","7e25",1,0,0,0,0,1,3.3,2.96,3.34,"MATH100",201903,4.25,456
"7824","422e",1,2,0,0,0,0,4,3.35,2.99,"MATH100",201801,4.03,539
"7825","53e3",1,2,0,0,0,0,4,3.77,3.39,"CHEM201",201610,4.3,155
"7826","f8e8",0,0,0,0,0,0,3,3.16,3.49,"BIO300",201710,4.1,599
"7827","445b",0,2,0,0,0,0,4,3.94,3.94,"BIO300",201610,4.25,652
"7828","71a8",1,1,0,0,0,0,1,2.34,2.29,"EVOL305",201810,3.65,321
"7829","0acf",1,2,1,1,0,0,3.7,3.21,3.76,"CHEM201",201810,3.86,149
"7830","b997",1,0,0,0,1,0,1.3,NA,2.96,"MATH100",201610,3.31,908
"7831","ec5d",1,2,0,0,0,0,4,3.1,3.56,"MATH100",201710,4.17,935
"7832","687c",1,1,0,0,1,0,4,3.22,3.39,"BIO300",201801,3.4,730
"7833","555f",1,2,1,0,0,1,3.3,3.18,3.63,"EVOL305",201610,4.24,173
"7834","1d14",1,0,0,0,0,0,4,3.95,3.69,"MATH100",201901,3.83,575
"7835","14c3",0,1,1,0,1,0,1.7,2.28,3.43,"EVOL305",201803,3.37,268
"7836","f2b8",1,2,0,0,0,0,2.7,2.88,3.3,"BIO300",201901,4.22,818
"7837","40d9",0,2,0,1,0,0,3,3.62,3.64,"BIO300",201610,3.76,652
"7838","f956",1,1,1,0,1,0,4,3.98,4,"EVOL305",201803,3.97,268
"7839","6aa1",1,2,1,0,0,1,3.7,3.14,3.49,"MATH100",201701,4.1,475
"7840","f434",1,0,0,0,1,0,3,2.84,3.29,"EVOL305",201901,3.16,191
"7841","db2f",1,1,1,0,0,0,2,2.38,2.97,"MATH100",201910,3.83,1005
"7842","3f9b",1,2,1,0,0,1,3.7,3.36,2.86,"MATH100",201910,3.95,1005
"7843","2d63",1,0,0,0,0,0,2.7,3.78,3.63,"MATH100",201910,4.27,1005
"7844","bd59",1,2,0,0,0,0,3.3,3.05,3.44,"BIO300",201701,3.92,624
"7845","7a55",0,1,0,0,1,0,3.7,NA,3.63,"BIO300",201810,3.82,664
"7846","2deb",1,1,0,0,0,0,4,3.56,3.42,"BIO300",201901,3.86,818
"7847","f5af",1,0,1,0,0,0,1.3,2.76,2.65,"BIO300",201610,3.95,652
"7848","0620",0,0,0,0,0,0,3.7,2.98,3.76,"EVOL305",201910,4.22,384
"7849","c9a9",1,2,1,0,1,0,3.7,NA,3.66,"MATH100",201710,4,935
"7850","2953",1,2,1,0,0,0,3.3,3.13,3,"BIO300",201910,4.2,642
"7851","0744",0,2,0,0,1,0,3.3,2.97,2.72,"BIO300",201710,3.33,599
"7852","730d",1,2,1,0,1,0,2.7,NA,3,"MATH100",201910,3.04,1005
"7853","f013",1,0,0,0,0,0,3.3,3.2,3.37,"MATH100",201801,4.21,539
"7854","c954",1,1,1,0,0,1,2.7,3.72,3.49,"MATH100",201910,3.81,1005
"7855","8607",1,0,0,0,0,0,4,3.95,4,"MATH100",201803,4.4,584
"7856","bfdb",1,1,0,0,0,0,4,3.57,3.89,"BIO300",201703,4.33,665
"7857","38ab",1,0,0,0,1,0,2.7,2.76,3.67,"BIO300",201803,3.73,749
"7858","cc7b",1,2,1,0,1,1,0,NA,1.82,"MATH100",201910,3.07,1005
"7859","c6e5",1,0,0,0,0,0,2.7,3.2,3.43,"MATH100",201710,4.1,935
"7860","fc73",0,2,0,1,0,0,2.7,3.19,3.16,"BIO300",201701,3.96,624
"7861","8e86",0,2,0,0,0,1,1,2.83,1.35,"MATH100",201903,4,456
"7862","9ae7",1,2,0,0,0,0,3.3,3.67,3.13,"BIO300",201903,4.2,575
"7863","0207",0,1,1,0,1,0,2,2.68,NA,"BIO300",201803,3.34,749
"7864","d087",1,2,0,0,1,1,2,2.75,1.56,"MATH100",201901,3.34,575
"7865","6806",0,0,0,0,1,0,4,3.82,3.38,"EVOL305",201703,3,193
"7866","d07a",1,1,1,0,1,0,1,2.22,1.91,"BIO300",201901,3.14,818
"7867","c2c2",1,0,1,1,1,0,4,NA,4,"MATH100",201710,4,935
"7868","5fd0",1,1,0,0,1,1,3.3,NA,3.63,"MATH100",201610,4,908
"7869","e770",0,2,0,0,0,0,4,3.98,4,"EVOL305",201910,4.34,384
"7870","d695",0,2,1,0,0,0,3.3,3.3,3.3,"BIO300",201803,4.18,749
"7871","ec20",1,2,0,0,0,0,3,3.68,3.84,"BIO300",201810,3.91,664
"7872","08f4",0,2,1,0,0,1,2.7,2.42,3,"MATH100",201701,3.87,475
"7873","9656",1,0,0,0,1,0,4,NA,3.64,"MATH100",201910,3.95,1005
"7874","e7a5",1,2,0,0,0,0,4,3.39,4,"MATH100",201903,4,456
"7875","a105",1,2,1,0,1,1,1.3,2.52,1.34,"BIO300",201710,3.47,599
"7876","dfb3",0,0,0,0,1,0,3,NA,3.7,"BIO300",201710,3.6,599
"7877","7876",0,0,0,0,0,0,3.3,3.8,3.99,"MATH100",201701,3.9,475
"7878","2fb4",1,1,0,0,0,1,2.7,2.72,3.64,"BIO300",201703,4.18,665
"7879","bf72",1,0,0,0,0,0,3.3,3.41,3.82,"MATH100",201803,4.08,584
"7880","0d32",0,1,0,0,0,0,2.7,3.41,3,"CHEM201",201710,4.31,119
"7881","fcbf",1,1,0,0,1,0,1.7,2.67,3.11,"BIO300",201803,3.37,749
"7882","9703",1,1,1,0,0,1,3.3,3.1,2.94,"BIO300",201910,4.18,642
"7883","c930",1,2,1,0,1,1,3,3.47,3.43,"EVOL305",201910,3.21,384
"7884","1318",1,1,1,0,1,1,3.3,NA,3.13,"MATH100",201710,2.97,935
"7885","47ea",0,0,0,0,1,0,4,NA,3.5,"MATH100",201910,3.8,1005
"7886","0467",1,0,0,0,0,1,0,2.73,1.9,"MATH100",201910,3.59,1005
"7887","c01f",0,2,0,0,1,0,3.7,NA,2.81,"MATH100",201610,3.63,908
"7888","0651",1,1,0,0,1,0,4,3.01,3.85,"BIO300",201810,3.88,664
"7889","27d2",0,2,0,1,0,1,4,3.83,4,"MATH100",201710,3.9,935
"7890","5c30",1,1,0,0,0,1,2.3,2.79,3.17,"BIO300",201903,3.92,575
"7891","a5ac",0,2,1,0,0,1,3,3.32,3.99,"BIO300",201610,4.09,652
"7892","cac4",1,0,0,0,1,0,1.3,NA,2.13,"MATH100",201710,3.44,935
"7893","3f8d",1,0,0,0,0,0,1.7,2.59,3.14,"BIO300",201703,3.9,665
"7894","83a3",1,2,0,0,1,0,2.3,NA,3.35,"MATH100",201610,3.3,908
"7895","5077",1,2,0,1,0,0,3,3.89,3.38,"EVOL305",201801,3.78,233
"7896","96d4",0,1,1,1,1,1,0.7,NA,1.8,"BIO300",201910,3.42,642
"7897","eb8d",1,2,1,0,0,0,1,2.31,2,"MATH100",201610,4,908
"7898","2cd0",1,0,0,0,0,0,2.3,3.04,2.71,"MATH100",201901,4.07,575
"7899","8894",0,2,1,0,0,0,3.3,3.45,3.6,"MATH100",201810,3.84,884
"7900","05fd",1,0,0,0,0,0,3,3.56,3.48,"BIO300",201803,3.9,749
"7901","d690",1,0,0,0,0,0,3.3,3.53,3.9,"MATH100",201803,4.33,584
"7902","8ad2",1,2,0,0,0,1,2,2.82,2.84,"EVOL305",201701,3.85,183
"7903","bd32",1,2,0,0,0,0,4,4,4,"BIO300",201803,4.31,749
"7904","c6e3",1,1,1,0,0,1,2,2.34,1.31,"EVOL305",201810,4.2,321
"7905","a0d8",0,0,0,0,0,1,4,3.93,3.85,"BIO300",201910,4.36,642
"7906","e02f",1,0,0,0,0,0,3.3,2.75,3.19,"EVOL305",201703,4.04,193
"7907","0038",0,1,1,0,0,0,1.7,2.4,2.3,"CHEM201",201910,3.85,143
"7908","9d78",0,2,1,0,1,1,2.7,3.53,2.92,"EVOL305",201803,3.76,268
"7909","f39e",1,0,0,0,0,0,3.7,3.77,3.99,"MATH100",201610,4.18,908
"7910","a4bb",0,2,0,0,1,1,4,3.84,3.91,"BIO300",201810,4,664
"7911","8423",1,0,1,0,0,0,2,3.46,3.71,"MATH100",201803,4.32,584
"7912","70e8",1,0,1,0,1,1,3.7,NA,3.33,"BIO300",201810,3.19,664
"7913","340e",1,1,0,0,0,0,1.7,3.04,3.14,"EVOL305",201801,3.75,233
"7914","f46f",1,1,0,0,0,0,4,3.63,4,"MATH100",201903,4.28,456
"7915","f607",0,1,1,0,1,0,1.7,2.55,1.26,"BIO300",201710,3.27,599
"7916","ff4d",1,2,1,0,0,1,4,3.48,3.69,"MATH100",201701,4,475
"7917","727e",0,2,1,0,1,1,2.7,3.3,2.88,"EVOL305",201703,2.97,193
"7918","bd3d",1,2,0,0,0,0,3,3.07,3.2,"BIO300",201710,4.26,599
"7919","6dee",1,0,0,0,0,0,3.3,3.39,3.87,"MATH100",201803,4.16,584
"7920","5860",0,1,0,0,1,0,3,3.7,3.33,"EVOL305",201801,3.81,233
"7921","a886",1,2,1,0,0,1,2.7,3.28,3.31,"BIO300",201801,4,730
"7922","085f",1,0,1,0,0,1,2.7,2.45,3.24,"BIO300",201810,3.66,664
"7923","eb55",1,2,0,1,0,0,3.3,3.62,3.17,"MATH100",201703,4,537
"7924","578a",0,1,1,0,0,1,1.7,2.71,2.84,"MATH100",201910,3.93,1005
"7925","a92a",1,0,0,0,0,0,3,3.43,4,"MATH100",201610,4.04,908
"7926","c0c6",0,0,0,0,0,0,2.3,2.98,3.54,"BIO300",201810,4.04,664
"7927","d86a",0,2,0,0,0,1,4,3.92,3.88,"MATH100",201801,4.34,539
"7928","95b8",0,2,0,0,0,0,3.7,3.26,3.63,"MATH100",201901,4.14,575
"7929","1a95",1,0,0,0,0,0,1,2.62,3.35,"EVOL305",201703,3.9,193
"7930","8b2d",1,2,0,1,0,0,2.7,2.58,2.83,"BIO300",201710,3.78,599
"7931","6dbe",1,2,1,0,1,0,2.3,2.47,2.2,"EVOL305",201903,2.91,233
"7932","12f4",1,2,0,0,0,0,4,3.37,3.84,"MATH100",201901,3.96,575
"7933","232f",0,2,0,0,0,0,4,3.9,4,"CHEM201",201810,4.25,149
"7934","63f4",1,2,1,0,0,1,3,3.2,2.38,"MATH100",201803,4,584
"7935","ca47",1,1,0,0,1,0,4,NA,3.69,"MATH100",201710,3.29,935
"7936","35c4",0,2,1,0,1,0,3.3,3.21,3.3,"MATH100",201710,3.24,935
"7937","f4ea",1,2,1,0,1,1,0,NA,2.3,"MATH100",201910,2.93,1005
"7938","d981",1,1,1,0,1,1,1,2.73,2.05,"BIO300",201903,3.1,575
"7939","2800",1,2,1,0,0,1,1.7,2.46,2.15,"EVOL305",201801,3.87,233
"7940","f369",1,1,1,0,1,0,2,2.7,2.15,"EVOL305",201703,3.51,193
"7941","f00e",1,2,0,0,0,0,3.3,3.65,2.86,"MATH100",201910,4.29,1005
"7942","aac3",1,0,1,0,0,1,3.7,3.21,3.34,"BIO300",201910,3.95,642
"7943","2ed4",1,0,0,0,0,0,3.7,3.27,3.86,"MATH100",201901,4,575
"7944","9bb8",0,1,1,0,0,1,3,2.83,3.22,"EVOL305",201903,4.2,233
"7945","6357",1,0,0,1,0,0,3,3,3.04,"MATH100",201710,4,935
